;Version, 1, 0
;Vi
;X, Y
;Re, Re
;time, V
;s, V
0,0
1e-12,2
3e-12,2
7.000000000000001e-12,2
1.5e-11,2
3.100000000000001e-11,2
6.300000000000002e-11,2
1.27e-10,2
2.550000000000001e-10,2
5.110000000000001e-10,2
1.023e-09,2
2.047000000000001e-09,2
4.095000000000002e-09,2
8.191000000000004e-09,2
1.638300000000001e-08,2
3.276700000000002e-08,2
6.553500000000004e-08,2
1.310710000000001e-07,2
2.621430000000001e-07,2
5.242870000000003e-07,2
1.048575000000001e-06,2
2.097151000000001e-06,2
4.194303000000001e-06,2
8.388607000000002e-06,2
1.6777215e-05,2
3.355443100000001e-05,2
6.710886300000002e-05,2
0.000134217727,2
0.0002684354550000001,2
0.0005368709110000001,2
0.001073741823,2
0.00173348665965053,2
0.002279523068232743,2
0.002764929482478631,2
0.003210552670935068,2
0.003622488458011784,2
0.004015067499270362,2
0.004395853943020521,2
0.004769262364565222,2
0.005138857168734426,2
0.005507185347773149,2
0.005876354819048992,2
0.006248279583989059,2
0.00662471423345901,2
0.007007305799400019,2
0.00739761636974044,2
0.007797134785177347,2
0.00820729010664226,2
0.008629463032324928,2
0.009064996099826491,2
0.009515203194787415,2
0.00998137819399109,2
0.01046480294016805,2
0.01096675469149604,2
0.01148851312059858,2
0.01203136693512459,2
0.01259662017222456,2
0.01318559820886227,2
0.01379965352784232,2
0.01444017127816402,2
0.01510857466817,2
0.0158063302301589,2
0.01653495299510948,2
0.01729601161601519,2
0.01809113347812256,2
0.01892200983418319,2
0.01979040100278869,2
0.02069814166804665,2
0.02164714631936565,2
0.02263941487101443,2
0.02367703850249442,2
0.02476220576267988,2
0.02589720898321873,2
0.02708445104994267,2
0.02832645258510531,2
0.02962585959827109,2
0.03098545166977751,2
0.03240815073803865,2
0.03389703057078954,2
0.03545532701094951,2
0.03708644910041999,2
0.03879399120025955,2
0.04058174624377878,2
0.04245372028081463,2
0.04441414849754864,2
0.04646751292775266,2
0.04861856210948903,2
0.050872332987719,2
0.05323417541999598,2
0.05570977971213054,2
0.05830520769683512,2
0.06093376851856853,2
0.06350749003490709,2
0.06603739101921224,2
0.0685362610563143,2
0.07101592999842346,2
0.07349021455364796,2
0.07596989279844669,2
0.07846386360761042,2
0.08098000953014947,2
0.08352531568605411,2
0.08610615732434215,2
0.08872845030192912,2
0.0913977230016446,2
0.09411918637663796,2
0.09689779053369711,2
0.09973827408523661,2
0.1026452102326949,2
0.1056230486122543,2
0.10867615355653,2
0.1118088394351501,2
0.1150254035454811,2
0.1183301571243768,2
0.1217274550108767,2
0.1252217244471232,2
0.1288174934919468,2
0.1325194195146817,2
0.136332318244677,2
0.140261193875481,2
0.1443112707612049,2
0.1484880272987604,2
0.1527972326667783,2
0.157244987194832,2
0.1618377672717141,2
0.1665824758780763,2
0.1714865000591383,2
0.1765577769546484,2
0.181804870399737,2
0.1872370606354425,2
0.1928644503695964,2
0.1986980913767449,2
0.2047501371217824,2
0.2110340286877589,2
0.2175647238146118,2
0.2243589824699234,2
0.2314357276417693,2
0.2388165078876595,2
0.2465261001292492,2
0.2545933098962137,2
0.2630520564147706,2
0.2719428803687366,2
0.2813150998670963,2
0.291230000077641,2
0.3017657505535974,2
0.3130253820123751,2
0.3251505902651283,2
0.3383477451209918,2
0.3527393420251622,2
