;Version, 1, 0
;Vo
;X, Y
;Re, Re
;time, V
;s, V
0,0
1e-12,3.140586632671493e-60
3e-12,1.978569578574864e-58
7.000000000000001e-12,2.483822131091563e-57
1.5e-11,6.403421479280233e-56
3.100000000000001e-11,2.029875085125235e-54
6.300000000000002e-11,6.621421518599102e-53
1.27e-10,2.152973675776611e-51
2.550000000000001e-10,6.957565454134753e-50
5.110000000000001e-10,2.238597042666638e-48
1.023e-09,7.184191797709288e-47
2.047000000000001e-09,2.302358820585939e-45
4.095000000000002e-09,7.373111665103927e-44
8.191000000000004e-09,2.3602941158445e-42
1.638300000000001e-08,7.554385517946324e-41
3.276700000000002e-08,2.417635009666206e-39
6.553500000000004e-08,7.736802908090566e-38
1.310710000000001e-07,2.475836158088955e-36
2.621430000000001e-07,7.922769524620594e-35
5.242870000000003e-07,2.535300635648491e-33
1.048575000000001e-06,8.112981050929188e-32
2.097151000000001e-06,2.596154415431927e-30
4.194303000000001e-06,8.307678487381682e-29
8.388607000000002e-06,2.658444110570537e-27
1.6777215e-05,8.506933114231993e-26
3.355443100000001e-05,2.72216146472438e-24
6.710886300000002e-05,8.710549558854902e-23
0.000134217727,2.787140369782031e-21
0.0002684354550000001,8.917337506895686e-20
0.0005368709110000001,2.852575065262692e-18
0.001073741823,9.12194413575164e-17
0.00173348665965053,8.369215108664406e-16
0.002279523068232743,2.731467288457007e-15
0.002764929482478631,6.303888456371142e-15
0.003210552670935068,1.218646767288854e-14
0.003622488458011784,2.095206978520164e-14
0.004015067499270362,3.349416145181327e-14
0.004395853943020521,5.090904049988714e-14
0.004769262364565222,7.451357683892951e-14
0.005138857168734426,1.059498240454341e-13
0.005507185347773149,1.472207226076486e-13
0.005876354819048992,2.00792435403298e-13
0.006248279583989059,2.697266011844913e-13
0.00662471423345901,3.578300573251441e-13
0.007007305799400019,4.698476974631814e-13
0.00739761636974044,6.117006180477902e-13
0.007797134785177347,7.907806925265002e-13
0.00820729010664226,1.016318765298695e-12
0.008629463032324928,1.299843831282737e-12
0.009064996099826491,1.655756042973641e-12
0.009515203194787415,2.102042229396e-12
0.00998137819399109,2.661169324141293e-12
0.01046480294016805,3.361200120144698e-12
0.01096675469149604,4.237186871780057e-12
0.01148851312059858,5.332912086550597e-12
0.01203136693512459,6.703063186592167e-12
0.01259662017222456,8.415949370201274e-12
0.01318559820886227,1.05568960711513e-11
0.01379965352784232,1.323248627062093e-11
0.01444017127816402,1.657586026047869e-11
0.01510857466817,2.075333842515158e-11
0.0158063302301589,2.597269787809952e-11
0.01653495299510948,3.249351670929849e-11
0.01729601161601519,4.064010337450395e-11
0.01809113347812256,5.081765865483412e-11
0.01892200983418319,6.353248024624917e-11
0.01979040100278869,7.941722369803235e-11
0.02069814166804665,9.926248852171924e-11
0.02164714631936565,1.240563179185587e-10
0.02263941487101443,1.55033601164339e-10
0.02367703850249442,1.937378699185315e-10
0.02476220576267988,2.420986096023086e-10
0.02589720898321873,3.025279972705583e-10
0.02708445104994267,3.780419693596067e-10
0.02832645258510531,4.724117683771004e-10
0.02962585959827109,5.903536827198758e-10
0.03098545166977751,7.377666613884986e-10
0.03240815073803865,9.220299604427389e-10
0.03389703057078954,1.152376093640357e-09
0.03545532701094951,1.440358284539362e-09
0.03708644910041999,1.800436565717506e-09
